Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171130,30,24,40.30,8,50.00%,23.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171129,49,39,43.89,14,21.43%,22.45%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171128,32,28,70.56,7,42.86%,21.88%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171127,34,27,54.57,10,50.00%,38.24%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171126,22,19,23.85,1,100.00%,9.09%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171125,37,27,47.57,5,0.00%,5.41%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171124,12,12,21.38,4,50.00%,33.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171123,12,10,33.50,4,25.00%,33.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171122,17,13,42.15,4,25.00%,23.53%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171121,40,31,50.03,7,57.14%,17.50%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171120,50,41,26.72,11,18.18%,14.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171119,25,19,43.61,2,100.00%,28.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171118,24,19,31.57,7,0.00%,12.50%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171117,28,24,21.70,7,57.14%,17.86%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171116,47,37,83.89,8,25.00%,25.53%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171115,55,46,73.16,10,30.00%,18.18%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171114,50,45,27.00,15,26.67%,22.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171113,44,38,51.17,6,0.00%,20.45%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171112,30,26,21.23,4,25.00%,26.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171111,19,14,50.12,0,0.00%,10.53%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171110,38,32,66.53,2,0.00%,15.79%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171109,38,32,72.81,8,12.50%,2.63%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171108,53,50,20.29,12,25.00%,20.75%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171107,42,35,33.18,11,27.27%,19.05%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171106,50,43,102.06,10,70.00%,30.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171105,27,26,47.25,7,0.00%,11.11%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171104,26,22,39.57,10,30.00%,19.23%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171103,36,25,139.00,4,0.00%,22.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171102,37,28,82.57,8,25.00%,24.32%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171101,68,53,50.44,19,26.32%,16.18%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171031,52,40,85.88,9,33.33%,21.15%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171030,54,44,50.67,9,55.56%,20.37%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171029,30,27,46.04,7,57.14%,23.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171028,22,15,34.94,3,66.67%,22.73%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171027,39,30,22.42,5,40.00%,7.69%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171026,49,41,35.43,10,30.00%,10.20%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171025,60,47,41.02,9,44.44%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171024,34,34,59.00,6,50.00%,29.41%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171023,65,49,37.94,13,23.08%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171022,38,35,20.38,7,57.14%,23.68%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171021,22,18,21.05,4,0.00%,9.09%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171020,53,38,17.55,13,46.15%,24.53%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171019,52,40,27.36,8,12.50%,13.46%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171018,66,49,31.63,10,10.00%,13.64%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171017,51,36,50.53,12,25.00%,21.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171016,41,35,70.28,5,0.00%,4.88%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171015,40,32,50.67,7,28.57%,17.50%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171014,27,23,49.43,5,40.00%,14.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171013,25,21,25.27,4,25.00%,12.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171012,28,26,35.05,4,100.00%,28.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171011,47,43,42.31,6,0.00%,10.64%,0.00
