Page,10/19/2016,10/20/2016,10/21/2016,10/22/2016,10/23/2016,10/24/2016,10/25/2016,10/26/2016,10/27/2016,10/28/2016,10/29/2016,10/30/2016,10/31/2016,11/1/2016,11/2/2016,11/3/2016,11/4/2016,11/5/2016,11/6/2016,11/7/2016,11/8/2016,11/9/2016,11/10/2016,11/11/2016,11/12/2016,11/13/2016,11/14/2016,11/15/2016,11/16/2016,11/17/2016,11/18/2016,11/19/2016,11/20/2016,11/21/2016,11/22/2016,11/23/2016,11/24/2016,11/25/2016,11/26/2016,11/27/2016,11/28/2016,11/29/2016,11/30/2016,12/1/2016,12/2/2016,12/3/2016,12/4/2016,12/5/2016,12/6/2016,12/7/2016,12/8/2016,12/9/2016,12/10/2016,12/11/2016,12/12/2016,12/13/2016,12/14/2016,12/15/2016,12/16/2016,12/17/2016,12/18/2016,12/19/2016,12/20/2016,12/21/2016,12/22/2016,12/23/2016,12/24/2016,12/25/2016,12/26/2016,12/27/2016,12/28/2016,12/29/2016,12/30/2016,12/31/2016,1/1/2017,1/2/2017,1/3/2017,1/4/2017,1/5/2017,1/6/2017,1/7/2017,1/8/2017,1/9/2017,1/10/2017,1/11/2017,1/12/2017,1/13/2017,1/14/2017,1/15/2017,1/16/2017,1/17/2017,1/18/2017,1/19/2017,1/20/2017,1/21/2017,1/22/2017,1/23/2017,1/24/2017,1/25/2017,1/26/2017,1/27/2017,1/28/2017,1/29/2017,1/30/2017,1/31/2017,2/1/2017,2/2/2017,2/3/2017,2/4/2017,2/5/2017,2/6/2017,2/7/2017,2/8/2017,2/9/2017,2/10/2017,2/11/2017,2/12/2017,2/13/2017,2/14/2017,2/15/2017,2/16/2017,2/17/2017,2/18/2017,2/19/2017,2/20/2017,2/21/2017,2/22/2017,2/23/2017,2/24/2017,2/25/2017,2/26/2017,2/27/2017,2/28/2017,3/1/2017,3/2/2017,3/3/2017,3/4/2017,3/5/2017,3/6/2017,3/7/2017,3/8/2017,3/9/2017,3/10/2017,3/11/2017,3/12/2017,3/13/2017,3/14/2017,3/15/2017,3/16/2017,3/17/2017,3/18/2017,3/19/2017,3/20/2017,3/21/2017,3/22/2017,3/23/2017,3/24/2017,3/25/2017,3/26/2017,3/27/2017,3/28/2017,3/29/2017,3/30/2017,3/31/2017,4/1/2017,4/2/2017,4/3/2017,4/4/2017,4/5/2017,4/6/2017,4/7/2017,4/8/2017,4/9/2017,4/10/2017,4/11/2017,4/12/2017,4/13/2017,4/14/2017,4/15/2017,4/16/2017,4/17/2017,4/18/2017,4/19/2017,4/20/2017,4/21/2017,4/22/2017,4/23/2017,4/24/2017,4/25/2017,4/26/2017,4/27/2017,4/28/2017,4/29/2017,4/30/2017,5/1/2017,5/2/2017,5/3/2017,5/4/2017,5/5/2017,5/6/2017,5/7/2017,5/8/2017,5/9/2017,5/10/2017,5/11/2017,5/12/2017,5/13/2017,5/14/2017,5/15/2017,5/16/2017,5/17/2017,5/18/2017,5/19/2017,5/20/2017,5/21/2017,5/22/2017,5/23/2017,5/24/2017,5/25/2017,5/26/2017,5/27/2017,5/28/2017,5/29/2017,5/30/2017,5/31/2017,6/1/2017,6/2/2017,6/3/2017,6/4/2017,6/5/2017,6/6/2017,6/7/2017,6/8/2017,6/9/2017,6/10/2017,6/11/2017,6/12/2017,6/13/2017,6/14/2017,6/15/2017,6/16/2017,6/17/2017,6/18/2017,6/19/2017,6/20/2017,6/21/2017,6/22/2017,6/23/2017,6/24/2017,6/25/2017,6/26/2017,6/27/2017,6/28/2017,6/29/2017,6/30/2017,7/1/2017,7/2/2017,7/3/2017,7/4/2017,7/5/2017,7/6/2017,7/7/2017,7/8/2017,7/9/2017,7/10/2017,7/11/2017,7/12/2017,7/13/2017,7/14/2017,7/15/2017,7/16/2017,7/17/2017,7/18/2017,7/19/2017,7/20/2017,7/21/2017,7/22/2017,7/23/2017,7/24/2017,7/25/2017,7/26/2017,7/27/2017,7/28/2017,7/29/2017,7/30/2017,7/31/2017,8/1/2017,8/2/2017,8/3/2017,8/4/2017,8/5/2017,8/6/2017,8/7/2017,8/8/2017,8/9/2017,8/10/2017,8/11/2017,8/12/2017,8/13/2017,8/14/2017,8/15/2017,8/16/2017,8/17/2017,8/18/2017,8/19/2017,8/20/2017,8/21/2017,8/22/2017,8/23/2017,8/24/2017,8/25/2017,8/26/2017,8/27/2017,8/28/2017,8/29/2017,8/30/2017,8/31/2017,9/1/2017,9/2/2017,9/3/2017,9/4/2017,9/5/2017,9/6/2017,9/7/2017,9/8/2017,9/9/2017,9/10/2017,9/11/2017,9/12/2017,9/13/2017,9/14/2017,9/15/2017,9/16/2017,9/17/2017,9/18/2017,9/19/2017,9/20/2017,9/21/2017,9/22/2017,9/23/2017,9/24/2017,9/25/2017,9/26/2017,9/27/2017,9/28/2017,9/29/2017,9/30/2017,10/1/2017,10/2/2017,10/3/2017,10/4/2017,10/5/2017,10/6/2017,10/7/2017,10/8/2017,10/9/2017,10/10/2017,10/11/2017,10/12/2017,10/13/2017,10/14/2017,10/15/2017,10/16/2017,10/17/2017,10/18/2017
www.usfca.edu/,7049,6317,5551,3511,4207,0,6720,6540,0,0,3196,4099,6176,7016,6722,6331,5265,0,0,7337,6418,6331,0,5525,3696,4898,0,8323,7332,6629,0,3415,3681,0,5470,0,2095,0,2854,4006,6858,7182,6991,6288,0,3329,3950,6739,6246,6035,0,4797,3275,0,6054,0,5382,5120,4503,0,2951,5462,5105,4670,4497,0,2040,0,2866,3614,3580,0,3003,2927,0,0,5922,0,5938,4514,3582,0,5918,6015,5838,5654,5016,0,5226,0,5758,0,0,0,0,4650,7779,0,6682,6403,0,3484,4134,6591,0,0,0,0,0,3758,0,0,7037,0,5206,3450,0,0,5838,0,6082,4985,0,0,4417,6262,6082,0,5235,0,0,0,7407,6057,0,0,0,0,6170,0,5496,0,0,2825,2955,6033,0,0,4588,3705,0,3661,0,6514,6055,5787,0,3273,0,6321,5914,5959,0,0,3002,0,6386,6255,6289,5665,0,0,3795,6145,0,6096,5352,0,0,0,6820,6847,6492,5727,4814,0,3414,6271,6145,5969,5600,4540,2922,4214,0,0,0,0,3879,3023,0,6313,0,0,0,4617,0,3104,6416,0,5188,4994,4967,0,3393,5547,0,0,5079,3774,0,0,3064,4892,4889,0,3867,0,0,0,4472,0,4347,0,2205,0,0,4171,0,4045,0,2027,0,3910,4212,4171,3964,3534,0,0,0,4337,0,3542,3224,0,2269,3282,2275,4103,4598,0,2406,2760,4508,4437,4149,0,0,2711,0,4458,0,4369,0,3642,0,0,0,0,4427,0,3198,0,0,4894,0,4180,0,3756,0,0,0,0,0,0,4010,2603,0,0,5474,5033,0,0,3898,0,6637,0,7131,6154,0,0,0,6273,0,0,0,4385,0,0,0,6194,0,0,0,3270,0,5954,0,0,0,4430,2941,0,6223,5867,0,5543,4662,0,0,5993,6197,0,0,0,0,3958,0,5982,0,0,4537,2996,3498,0,0,5419,5608,3696,0,0,5041,5302,0
www.usfca.edu/arts-sciences,68,65,60,32,45,0,0,0,60,50,30,35,52,0,64,110,116,38,36,62,54,48,71,49,41,52,164,72,158,56,0,50,0,45,0,35,33,0,66,72,136,126,0,60,59,0,68,122,124,86,48,36,0,0,0,71,50,46,37,20,0,56,98,142,172,90,0,25,0,43,0,42,24,17,60,40,108,71,68,128,0,86,146,0,148,124,0,0,79,50,116,0,98,54,31,0,52,112,0,60,62,28,44,90,76,54,124,51,0,44,67,59,132,138,48,80,0,62,55,0,0,48,0,84,0,56,43,0,0,42,29,98,128,0,57,65,52,88,64,47,71,148,45,0,54,0,74,77,41,72,41,0,63,68,124,146,88,26,0,64,0,0,55,38,0,52,0,59,0,128,56,37,0,52,67,0,0,37,0,28,50,132,43,0,47,33,43,108,47,112,42,92,36,32,48,49,36,36,0,31,32,80,39,0,63,100,25,56,154,0,116,49,75,20,32,49,37,47,38,76,20,48,34,76,54,37,52,38,106,62,45,50,40,52,46,20,84,96,86,39,40,42,22,86,40,43,34,78,44,23,74,43,31,54,56,32,62,30,15,42,90,25,24,34,42,90,62,46,42,22,40,49,36,74,62,26,20,40,56,100,96,70,22,15,25,90,66,72,94,36,13,46,51,39,58,48,66,58,29,58,78,0,49,45,16,52,44,0,63,118,92,24,70,88,55,132,66,84,29,0,0,104,94,49,45,34,50,94,0,0,47,49,29,32,0,62,72,41,41,30,30,112,0,0,0,55,52,46,92,148,0,55,46,0,39,52,0,63,38,41,21,33,58,65,53
www.usfca.edu/arts-sciences/undergraduate-programs,205,0,172,112,177,198,211,0,0,127,111,120,0,213,187,219,175,154,161,0,179,188,215,0,149,195,256,279,234,177,0,0,0,0,163,108,95,102,0,124,157,193,195,0,114,83,0,120,143,0,165,122,0,79,143,144,122,113,87,0,79,155,0,150,154,87,0,0,0,86,0,124,97,74,101,0,166,0,0,128,135,156,0,0,206,163,162,171,0,0,168,190,0,132,115,118,130,152,0,153,107,88,0,130,129,141,196,0,68,101,0,160,144,0,88,0,0,169,0,0,0,0,108,127,133,162,0,0,0,0,0,129,0,143,131,122,0,0,151,0,0,134,108,57,0,207,0,0,138,0,102,0,171,0,140,182,131,89,0,0,197,168,0,130,206,0,0,316,314,155,147,222,234,166,183,152,300,160,158,69,310,0,163,0,230,0,146,158,0,172,0,276,110,296,148,163,268,272,164,54,170,276,113,119,137,238,67,82,272,288,242,262,138,79,0,119,188,125,202,101,124,0,63,128,0,270,160,122,115,358,131,119,240,108,128,80,118,137,224,166,0,112,0,141,130,104,126,107,140,71,111,244,141,210,0,67,54,80,58,0,234,0,112,166,274,147,101,143,220,146,136,246,122,136,254,0,0,138,160,122,109,75,138,70,0,258,122,102,118,83,62,54,137,272,272,0,97,138,89,132,131,0,131,112,0,200,334,188,204,139,290,96,113,294,206,192,152,134,0,91,127,338,0,0,226,93,220,137,412,196,0,248,0,0,430,366,0,0,218,0,142,390,180,199,0,348,104,304,0,0,0,334,98,90,166,0,0,380,162,300,204,140,0,161,0
www.usfca.edu/arts-sciences/undergraduate-programs in westeville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.usfca.edu/arts-sciences/undergraduate-programs school of music,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.usfca.edu/arts-sciences/undergraduate-programs summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.usfca.edu/arts-sciences/undergraduate-programs/accounting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.usfca.edu/arts-sciences/undergraduate-programs/advertising,33,14,56,42,17,64,68,80,22,36,24,26,44,39,20,66,54,11,24,58,44,50,29,38,22,25,78,74,0,36,32,13,15,66,28,16,22,13,26,30,54,0,13,34,18,7,8,36,40,13,40,46,7,7,42,17,34,26,16,20,7,17,22,46,22,42,26,12,8,16,0,18,4,18,12,22,36,42,26,6,7,13,48,18,10,16,17,10,48,36,20,29,36,14,12,15,33,64,40,40,0,32,13,0,0,18,18,6,5,18,52,46,0,38,23,10,14,0,15,22,18,40,5,0,0,0,24,25,0,14,0,26,50,24,0,13,13,12,17,0,15,0,15,13,13,48,0,30,38,17,18,0,17,0,20,0,7,14,22,0,0,20,20,0,11,0,25,0,42,18,20,17,12,26,20,0,13,6,18,13,29,21,56,23,0,10,10,38,22,40,26,32,17,9,0,24,0,54,0,8,12,0,21,11,18,25,7,6,13,40,16,0,22,3,12,8,32,20,14,0,7,13,8,0,16,54,10,12,16,8,0,20,0,0,15,13,26,17,12,6,6,8,3,0,22,10,16,7,12,0,20,13,14,38,7,0,3,7,28,7,17,20,12,18,10,19,9,30,15,9,10,52,20,10,0,20,9,22,20,58,19,42,6,12,8,0,12,0,18,18,0,11,0,12,46,33,22,24,9,5,0,26,12,38,7,16,18,26,31,60,7,3,15,34,19,0,21,6,3,6,19,29,0,12,11,0,0,10,0,0,0,14,12,26,22,46,58,15,24,9,0,21,0,0,40,15,15,15,27,0,23,23,0,8,0,0,0,0,18,17,9,34,19,60,0
www.usfca.edu/arts-sciences/undergraduate-programs/advertising/faculty,5,2,0,0,0,6,5,12,0,0,0,0,2,3,0,2,5,0,2,2,4,0,4,1,0,0,3,7,14,4,2,0,0,8,5,1,0,0,1,0,2,6,2,0,0,1,0,0,0,1,4,2,0,0,3,6,2,0,0,0,0,2,10,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,3,0,8,0,0,0,1,6,0,0,0,10,14,5,4,0,1,0,10,0,5,0,1,0,0,0,0,0,1,0,0,0,6,0,0,4,0,3,0,0,4,12,5,0,1,3,0,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,2,1,3,1,1,2,0,0,3,4,3,10,0,0,0,2,5,4,0,0,1,0,2,0,10,0,0,0,0,0,3,1,3,0,0,0,0,1,2,1,0,0,2,0,8,1,2,0,0,0,0,0,0,2,1,0,0,2,8,0,1,5,1,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,2,2,0,2,1,3,0,1,0,0,0,4,2,0,3,0,0,2,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,15,2,0,0,1,3,2,0,0,3,0,0,0,14,8,6,8,0,7,2,8,1,1,0,0,3,0,2,2,0,0,2,1,2,3,0,1,0,0,0,1,8,0,2,0,0,2,2,4,1,0,1,0,3,3,0,4,0,0,0,2,0,2,2,0,0,2,1,0,0
www.usfca.edu/arts-sciences/undergraduate-programs/african-american-studies,0,4,1,2,14,10,18,3,10,4,0,16,5,8,10,0,4,0,2,7,2,1,2,6,2,3,10,6,0,0,1,0,0,4,2,1,6,0,8,0,10,2,1,6,2,2,6,0,8,20,14,0,4,1,0,10,6,3,1,4,0,20,4,4,0,2,0,2,4,1,0,0,4,1,0,0,4,2,0,10,0,8,2,0,0,1,3,1,1,4,14,0,6,0,0,0,4,6,1,2,4,0,2,0,5,5,2,2,0,10,10,6,1,2,4,2,0,9,8,2,4,0,0,0,6,6,6,0,6,0,0,10,7,0,0,0,0,0,2,1,1,0,4,2,0,1,2,5,0,0,0,0,10,10,0,9,0,2,2,0,4,6,0,3,0,2,4,2,3,0,1,0,0,8,4,4,4,0,0,4,4,0,2,0,0,0,0,12,6,0,5,8,0,2,0,2,0,3,8,2,1,0,8,1,4,0,1,2,2,0,5,1,6,1,2,0,3,2,8,4,2,1,0,0,2,0,0,0,0,2,1,0,0,1,0,0,1,0,14,1,0,2,1,1,8,0,0,2,0,2,2,18,10,10,6,0,0,0,3,4,1,4,0,0,1,2,0,0,3,4,0,4,2,5,22,4,6,1,1,0,0,1,4,0,4,1,0,4,6,0,2,3,10,3,8,5,1,1,0,2,0,2,1,3,0,5,7,0,3,2,0,4,0,18,0,5,8,6,0,0,4,8,4,12,3,0,0,0,0,0,0,3,0,0,6,12,3,0,2,0,3,0,3,10,0,0,0,4,5,1,2,1,1,0,0,8,5,5,1,2,2,4,2,6,0
