Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171130,60,46,54.07,18,33.33%,26.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171129,87,57,43.63,21,19.05%,10.34%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171128,71,51,18.64,20,35.00%,25.35%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171127,83,62,53.15,21,28.57%,19.28%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171126,52,45,56.95,12,46.15%,23.08%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171125,22,20,48.38,7,28.57%,27.27%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171124,34,25,119.57,7,71.43%,32.35%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171123,40,27,92.42,7,28.57%,10.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171122,56,36,32.73,15,40.00%,14.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171121,61,44,47.30,18,44.44%,27.87%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171120,89,58,16.68,22,36.36%,19.10%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171119,50,37,42.80,12,33.33%,12.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171118,43,34,31.10,9,66.67%,32.56%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171117,63,50,24.75,15,66.67%,23.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171116,89,74,54.80,27,29.63%,16.85%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171115,89,63,40.55,21,19.05%,15.73%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171114,107,79,65.44,20,20.00%,15.89%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171113,105,70,76.14,24,32.00%,18.10%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171112,53,37,36.35,13,15.38%,13.21%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171111,76,44,59.26,10,10.00%,13.16%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171110,78,53,51.43,14,42.86%,10.26%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171109,101,76,63.99,22,34.78%,17.82%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171108,68,54,52.21,15,53.33%,29.41%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171107,57,47,55.84,18,38.89%,22.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171106,79,64,82.36,25,32.00%,18.99%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171105,58,44,40.21,18,66.67%,34.48%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171104,43,32,39.83,7,42.86%,18.60%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171103,71,51,87.95,14,50.00%,21.13%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171102,84,54,50.81,26,30.77%,20.24%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171101,74,55,111.92,14,14.29%,16.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171031,115,83,70.79,32,31.25%,29.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171030,73,53,39.22,12,33.33%,13.70%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20171029,63,47,49.60,10,10.00%,17.46%,0.00
